"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0.1,0.1
1,0,0,1,0.04,0.04,0.1,0.1
1,0,0,1,0.08,0.08,0.1,0.1
1,0,0,1,0.12,0.12,0.1,0.1
1,0,0,1,0.16,0.16,0.1,0.1
1,0,0,1,0.2,0.2,0.1,0.1
1,0,0,1,0.24,0.24,0.1,0.1
1,0,0,1,0.28,0.28,0.1,0.1
1,0,0,1,0.32,0.32,0.1,0.1
1,0,0,1,0.36,0.36,0.1,0.1
1,0,0,1,0.4,0.4,0.1,0.1
1,0,0,1,0.44,0.44,0.1,0.1
1,0,0,1,0.48,0.48,0.1,0.1
1,0,0,1,0.52,0.52,0.1,0.1
1,0,0,1,0.56,0.56,0.1,0.1
1,0,0,1,0.6,0.6,0.1,0.1
1,0,0,1,0.64,0.64,0.1,0.1
1,0,0,1,0.68,0.68,0.1,0.1
1,0,0,1,0.72,0.72,0.1,0.1
1,0,0,1,0.76,0.76,0.1,0.1
1,0,0,1,0.8,0.8,0.1,0.1
1,0,0,1,0.84,0.84,0.1,0.1
1,0,0,1,0.88,0.88,0.1,0.1
1,0,0,1,0.92,0.92,0.1,0.1
1.0194,0,0,1,0.96,0.96,0.1,0.1
1.5367,0,0,1,1,1,0.1,0.1
1.9417,0,0,1,1.04,1.04,0.1,0.1
1.9977,0,0,1,1.08,1.08,0.1,0.1
2,0,0,1,1.12,1.12,0.1,0.1
2,0,0,1,1.16,1.16,0.1,0.1
2,0,0,1,1.2,1.2,0.1,0.1
2,0,0,1,1.24,1.24,0.1,0.1
2,0,0,1,1.28,1.28,0.1,0.1
2,0,0,1,1.32,1.32,0.1,0.1
2,0,0,1,1.36,1.36,0.1,0.1
2,0,0,1,1.4,1.4,0.1,0.1
1.9997,0,0,1,1.44,1.44,0.1,0.1
1.7908,0,0,1,1.48,1.48,0.1,0.1
1.1927,0,0,1,1.52,1.52,0.1,0.1
1.0131,0,0,1,1.56,1.56,0.1,0.1
1.0003,0,0,1,1.6,1.6,0.1,0.1
1,0,0,1,1.64,1.64,0.1,0.1
1,0,0,1,1.68,1.68,0.1,0.1
1,0,0,1,1.72,1.72,0.1,0.1
1,0,0,1,1.76,1.76,0.1,0.1
1,0,0,1,1.8,1.8,0.1,0.1
1,0,0,1,1.84,1.84,0.1,0.1
1,0,0,1,1.88,1.88,0.1,0.1
1,0,0,1,1.92,1.92,0.1,0.1
1,0,0,1,1.96,1.96,0.1,0.1
1,0,0,1,2,2,0.1,0.1
1,0,0,1,2.04,2.04,0.1,0.1
1,0,0,1,2.08,2.08,0.1,0.1
1,0,0,1,2.12,2.12,0.1,0.1
1,0,0,1,2.16,2.16,0.1,0.1
1,0,0,1,2.2,2.2,0.1,0.1
1,0,0,1,2.24,2.24,0.1,0.1
1,0,0,1,2.28,2.28,0.1,0.1
1,0,0,1,2.32,2.32,0.1,0.1
1,0,0,1,2.36,2.36,0.1,0.1
1,0,0,1,2.4,2.4,0.1,0.1
1,0,0,1,2.44,2.44,0.1,0.1
1,0,0,1,2.48,2.48,0.1,0.1
1,0,0,1,2.52,2.52,0.1,0.1
1,0,0,1,2.56,2.56,0.1,0.1
1,0,0,1,2.6,2.6,0.1,0.1
1,0,0,1,2.64,2.64,0.1,0.1
1,0,0,1,2.68,2.68,0.1,0.1
1,0,0,1,2.72,2.72,0.1,0.1
1,0,0,1,2.76,2.76,0.1,0.1
1,0,0,1,2.8,2.8,0.1,0.1
1,0,0,1,2.84,2.84,0.1,0.1
1,0,0,1,2.88,2.88,0.1,0.1
1,0,0,1,2.92,2.92,0.1,0.1
1,0,0,1,2.96,2.96,0.1,0.1
1,0,0,1,3,3,0.1,0.1
1,0,0,1,3.04,3.04,0.1,0.1
1,0,0,1,3.08,3.08,0.1,0.1
1,0,0,1,3.12,3.12,0.1,0.1
1,0,0,1,3.16,3.16,0.1,0.1
1,0,0,1,3.2,3.2,0.1,0.1
1,0,0,1,3.24,3.24,0.1,0.1
1,0,0,1,3.28,3.28,0.1,0.1
1,0,0,1,3.32,3.32,0.1,0.1
1,0,0,1,3.36,3.36,0.1,0.1
1,0,0,1,3.4,3.4,0.1,0.1
1,0,0,1,3.44,3.44,0.1,0.1
1,0,0,1,3.48,3.48,0.1,0.1
1,0,0,1,3.52,3.52,0.1,0.1
1,0,0,1,3.56,3.56,0.1,0.1
1,0,0,1,3.6,3.6,0.1,0.1
1,0,0,1,3.64,3.64,0.1,0.1
1,0,0,1,3.68,3.68,0.1,0.1
1,0,0,1,3.72,3.72,0.1,0.1
1,0,0,1,3.76,3.76,0.1,0.1
1,0,0,1,3.8,3.8,0.1,0.1
1,0,0,1,3.84,3.84,0.1,0.1
1,0,0,1,3.88,3.88,0.1,0.1
1,0,0,1,3.92,3.92,0.1,0.1
1,0,0,1,3.96,3.96,0.1,0.1
1,0,0,1,4,4,0.1,0.1
