"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0.1,0.1
1.0025,0,0,1,0.019802,0.019802,0.1,0.1
1.0052,0,0,1,0.039604,0.039604,0.1,0.1
1.008,0,0,1,0.059406,0.059406,0.1,0.1
1.0111,0,0,1,0.079208,0.079208,0.1,0.1
1.0146,0,0,1,0.09901,0.09901,0.1,0.1
1.0187,0,0,1,0.11881,0.11881,0.1,0.1
1.0234,0,0,1,0.13861,0.13861,0.1,0.1
1.0289,0,0,1,0.15842,0.15842,0.1,0.1
1.0354,0,0,1,0.17822,0.17822,0.1,0.1
1.043,0,0,1,0.19802,0.19802,0.1,0.1
1.0521,0,0,1,0.21782,0.21782,0.1,0.1
1.0628,0,0,1,0.23762,0.23762,0.1,0.1
1.0755,0,0,1,0.25743,0.25743,0.1,0.1
1.0905,0,0,1,0.27723,0.27723,0.1,0.1
1.1081,0,0,1,0.29703,0.29703,0.1,0.1
1.1286,0,0,1,0.31683,0.31683,0.1,0.1
1.1526,0,0,1,0.33663,0.33663,0.1,0.1
1.1803,0,0,1,0.35644,0.35644,0.1,0.1
1.2122,0,0,1,0.37624,0.37624,0.1,0.1
1.2485,0,0,1,0.39604,0.39604,0.1,0.1
1.2895,0,0,1,0.41584,0.41584,0.1,0.1
1.3352,0,0,1,0.43564,0.43564,0.1,0.1
1.3852,0,0,1,0.45545,0.45545,0.1,0.1
1.4389,0,0,1,0.47525,0.47525,0.1,0.1
1.4947,0,0,1,0.49505,0.49505,0.1,0.1
1.5504,0,0,1,0.51485,0.51485,0.1,0.1
1.6034,0,0,1,0.53465,0.53465,0.1,0.1
1.6524,0,0,1,0.55446,0.55446,0.1,0.1
1.6965,0,0,1,0.57426,0.57426,0.1,0.1
1.7354,0,0,1,0.59406,0.59406,0.1,0.1
1.7691,0,0,1,0.61386,0.61386,0.1,0.1
1.7976,0,0,1,0.63366,0.63366,0.1,0.1
1.8211,0,0,1,0.65347,0.65347,0.1,0.1
1.84,0,0,1,0.67327,0.67327,0.1,0.1
1.8543,0,0,1,0.69307,0.69307,0.1,0.1
1.8644,0,0,1,0.71287,0.71287,0.1,0.1
1.8705,0,0,1,0.73267,0.73267,0.1,0.1
1.8724,0,0,1,0.75248,0.75248,0.1,0.1
1.8705,0,0,1,0.77228,0.77228,0.1,0.1
1.8644,0,0,1,0.79208,0.79208,0.1,0.1
1.8543,0,0,1,0.81188,0.81188,0.1,0.1
1.84,0,0,1,0.83168,0.83168,0.1,0.1
1.8211,0,0,1,0.85149,0.85149,0.1,0.1
